prev_surprise_1q,avg_surprise_4q,beat_streak,surprise_consistency,eps_estimate_revision_pct,num_analysts,revenue_growth,gross_margin,revenue_growth_accel,gross_margin_trend,price_return_30d,price_return_5d,price_volatility_30d,pct_from_52w_high,fiscal_quarter,ticker_encoded,label,ticker,earnings_date
3.335089439236321,3.2910233287898096,1.0,3.1741493676573134,,,-0.2328318584070796,0.4705061923887624,0.003694507970495347,0.46936168624537195,-0.10915775917885495,-0.012821090514071837,0.017626454436727942,-0.11817078640647118,1,0,Meet,AAPL,2025-03-31
1.693034951587945,3.2910233287898096,0.0,3.1741493676573134,,,-0.0138738871003261,0.4649070568718363,0.21895797130675348,0.46936168624537195,-0.04904229257694865,-0.0020843207670993144,0.01710031941656965,-0.05614256688147842,2,0,Beat,AAPL,2025-06-30
10.119799119041604,5.9064170353147745,1.0,5.958622086266294,,,0.0896465183546726,0.4717760037475845,0.1035204054549987,0.46770662463029933,0.10307013027203556,-0.002421057577219492,0.017900595075369174,-0.005489100657377966,3,0,Beat,AAPL,2025-09-30
4.523907725164277,5.445580598597942,2.0,4.288321262182655,,,0.4029629340464153,0.4815868555051615,0.31331641569174273,0.4683415303097104,0.004955827470462501,0.010296427262163555,0.008780532477159132,-0.04343263450828345,4,0,Beat,AAPL,2025-12-31
3.335089439236321,3.2910233287898096,1.0,3.1741493676573134,,,-0.0838709677419354,0.7772887323943662,0.003694507970495347,0.46936168624537195,-0.252323108595939,-0.0703281803089934,0.03379991992551634,-0.252323108595939,1,1,Beat,ABNB,2025-03-31
2.0278025762020135,3.2910233287898096,1.0,3.1741493676573134,,,0.3626760563380282,0.8242894056847545,0.4465470240799636,0.46936168624537195,-0.016594700819405603,0.030567727958922725,0.019179993246762603,-0.04351532383210428,2,1,Beat,ABNB,2025-06-30
9.41035255627198,5.719077566236996,2.0,5.220251153356084,,,0.322674418604651,0.865934065934066,-0.04000163773337717,0.8007890690395604,-0.011191059496044028,-0.013871216990583439,0.019146671532172612,-0.05543684631512963,3,1,Miss,ABNB,2025-09-30
-4.764777619291814,2.2244591710607264,0.0,7.089611007366404,,,-0.3216117216117216,0.8246940244780417,-0.6442861402163726,0.8451117358094102,0.11965250676763328,-0.0024096519781552517,0.016662863367861862,-0.0024096519781552517,4,1,Miss,ABNB,2025-12-31
3.335089439236321,3.2910233287898096,1.0,3.1741493676573134,,,0.0278263913195659,0.8913672739656053,0.003694507970495347,0.46936168624537195,0.2009645324370847,-0.002341132073804032,0.021295294381593523,-0.017400417066804248,2,2,Meet,ADBE,2025-05-31
1.71365395245991,3.2910233287898096,0.0,3.1741493676573134,,,0.0195811340030649,0.8927855711422845,-0.008245257316501001,0.46936168624537195,-0.029862871756615006,-0.01792345860852242,0.015105938777307275,-0.06681660391337811,3,2,Beat,ADBE,2025-08-31
2.4774057584196365,2.095529855439773,1.0,0.5400540811375949,,,0.0344021376085503,0.8952211817888279,0.0148210036054854,0.8920764225539449,-0.039398681204044154,-0.012523512532831883,0.01792421741122122,-0.11052762739166073,4,2,Meet,ADBE,2025-11-30
1.8965731256125304,2.029210945497359,0.0,0.39877788143844706,,,0.0329350984824023,0.8962175679899969,-0.0014670391261479981,0.8940033764655562,-0.14912624337277175,0.0016628251719468141,0.023014042092575904,-0.26515559453999327,1,2,Beat,ADBE,2026-02-28
3.335089439236321,3.2910233287898096,1.0,3.1741493676573134,,,-0.0287281274484199,0.5022855606345792,0.003694507970495347,0.46936168624537195,-0.08735629873309551,-0.09336844440831715,0.028318535478772694,-0.13623429940834206,1,3,Beat,AMD,2025-03-31
2.8288649192900452,3.2910233287898096,1.0,3.1741493676573134,,,0.0332078515730034,0.3980481457384515,0.061935979021423296,0.46936168624537195,0.2506304916099549,0.10981629515711853,0.027076043313934324,0.0,2,3,Meet,AMD,2025-06-30
-0.5469915464942879,1.1409366863978787,0.0,2.3870909992685543,,,0.2031229668184775,0.5169803158122431,0.1699151152454741,0.45016685318651534,-0.10168434652435102,-0.0020651266420339885,0.026140285934544434,-0.1353431932702468,3,3,Beat,AMD,2025-09-30
2.4765157984628448,1.5861297237528673,1.0,1.8557187936006236,,,0.1107505948518279,0.5430379746835443,-0.0923723719666496,0.4575142307753473,-0.12641301915184847,0.0030704985879497233,0.035299232551680076,-0.16961291862648917,4,3,Beat,AMD,2025-12-31
3.335089439236321,3.2910233287898096,1.0,3.1741493676573134,,,-0.1710669251086308,0.5055085535148747,0.003694507970495347,0.46936168624537195,-0.15725027377476616,-0.05185473566358055,0.01931147250242171,-0.20383374715166327,1,4,Beat,AMZN,2025-03-31
