ticker,earnings_date,actual_eps,estimated_eps,surprise_pct,label,revenue_growth,gross_margin
AAPL,2025-03-31,1.65,1.62253,1.693034951587945,Meet,-0.23283185840707965,0.47050619238876246
AAPL,2025-06-30,1.57,1.42572,10.119799119041604,Beat,-0.01387388710032611,0.4649070568718363
AAPL,2025-09-30,1.85,1.76993,4.523907725164277,Beat,0.08964651835467263,0.47177600374758455
AAPL,2025-12-31,2.84,2.6708,6.33518047027108,Beat,0.40296293404641537,0.4815868555051615
ABNB,2025-03-31,0.24,0.23523,2.0278025762020135,Beat,-0.08387096774193548,0.7772887323943662
ABNB,2025-06-30,1.03,0.94141,9.410352556271981,Beat,0.36267605633802824,0.8242894056847545
ABNB,2025-09-30,2.21,2.32057,-4.764777619291814,Miss,0.32267441860465107,0.865934065934066
ABNB,2025-12-31,0.56,0.6639,-15.64994728121705,Miss,-0.3216117216117216,0.8246940244780417
ADBE,2025-05-31,5.06,4.97475,1.71365395245991,Meet,0.02782639131956599,0.8913672739656053
ADBE,2025-08-31,5.31,5.18163,2.4774057584196365,Beat,0.019581134003064937,0.8927855711422845
ADBE,2025-11-30,5.5,5.39763,1.8965731256125304,Meet,0.034402137608550376,0.8952211817888279
ADBE,2026-02-28,6.06,5.87314,3.181603026660344,Beat,0.03293509848240239,0.8962175679899969
AMD,2025-03-31,0.96,0.93359,2.8288649192900452,Beat,-0.028728127448419905,0.5022855606345792
AMD,2025-06-30,0.48,0.48264,-0.5469915464942879,Meet,0.03320785157300343,0.39804814573845154
AMD,2025-09-30,1.2,1.171,2.4765157984628448,Beat,0.20312296681847752,0.5169803158122431
AMD,2025-12-31,1.53,1.31917,15.982018996793446,Beat,0.11075059485182792,0.5430379746835443
AMZN,2025-03-31,1.59,1.358,17.083946980854193,Beat,-0.17106692510863086,0.5055085535148747
AMZN,2025-06-30,1.68,1.33192,26.13370172382725,Beat,0.07731246828165239,0.5181393185531479
AMZN,2025-09-30,1.95,1.55757,25.19501531231342,Beat,0.07434019868576414,0.5078509621522015
AMZN,2025-12-31,1.95,1.95962,-0.49091150325062827,Meet,0.18436578989726304,0.48469440356911886
BA,2025-06-30,-1.24,-1.26982,2.34836433510261,Beat,0.16685473943373008,0.10703767198558178
BA,2026-03-31,-0.2,-0.67243,70.25712713591005,Beat,-0.07228161015533652,0.11459693027861548
COST,2025-05-31,4.28,4.2278,1.2346847059936616,Meet,-0.008128933038306418,0.12987896527173484
COST,2025-08-31,5.87,5.80441,1.130002877122744,Meet,0.3631200063286133,0.1290565950136961
COST,2025-11-30,4.5,4.27711,5.211229077578074,Beat,-0.2187775662751288,0.13069963005333768
COST,2026-02-28,4.58,4.54467,0.7773941782351652,Meet,0.03402320709584439,0.12756296966823283
CRM,2025-04-30,2.58,2.54652,1.3147354036096301,Meet,-0.016411488041629174,0.7695594668837115
CRM,2025-07-31,2.91,2.77924,4.704883349404873,Beat,0.04140807813612768,0.780969128565846
CRM,2025-10-31,3.25,2.8622,13.549018237719235,Beat,0.002246971473231829,0.78019300126718
CRM,2026-01-31,3.81,3.05166,24.850081594935215,Beat,0.09182181499171449,0.7760914204088921
CVX,2025-03-31,2.18,2.15182,1.3095890920244406,Meet,-0.0461993627674101,0.2899720179605648
CVX,2025-06-30,1.77,1.7402,1.712446845190211,Meet,-0.037439534934166296,0.296856338028169
CVX,2025-09-30,1.85,1.70678,8.391239644242383,Beat,0.08549859154929584,0.31119599742573023
CVX,2025-12-31,1.52,1.44481,5.204144489586873,Beat,-0.04945089165230754,0.31788498918907115
DIS,2025-03-31,1.45,1.21043,19.79213998331172,Beat,-0.04329688132847309,0.3730155370221413
DIS,2025-06-30,1.61,1.44649,11.303914994227409,Beat,0.0012277210956352924,0.38553911205074
DIS,2025-09-30,1.11,1.02382,8.417495262839186,Beat,-0.050147991543340376,0.37597934472934474
DIS,2025-12-31,1.63,1.5758,3.439522782078931,Beat,0.1565616096866096,0.358415765366999
F,2025-06-30,0.37,0.33299,11.114447881317753,Beat,0.23426547627831473,0.06410409692332217
F,2025-09-30,0.45,0.35883,25.407574617506906,Beat,0.006974334449226793,0.0850516483951399
F,2025-12-31,0.13,0.19364,-32.86511051435654,Miss,-0.09189852376617724,-0.18707779472651995
GE,2025-06-30,1.66,1.43135,15.974429734167048,Beat,0.1095228508153816,0.3788786064235166
GE,2025-09-30,1.66,1.46885,13.01358205398781,Beat,0.10515332970422797,0.3627780970363681
GE,2025-12-31,1.57,1.42976,9.80863921217548,Beat,0.044002955422379086,0.3423763466226311
GE,2026-03-31,1.86,1.59919,16.308881371194182,Beat,-0.02555634190453726,0.3607165913492576
GM,2025-06-30,2.53,2.47684,2.1462831672614966,Beat,0.07046796910495234,0.09053096218326896
GM,2025-09-30,2.8,2.32278,20.545208758470455,Beat,0.031174398370187983,0.06406536189829393
GM,2025-12-31,2.51,2.26844,10.648727760046542,Beat,-0.06801671091354367,-0.024753787042353044
GM,2026-03-31,3.7,2.63928,40.18974871934772,Beat,-0.06801671091354367,-0.024753787042353044
GOOGL,2025-03-31,2.81,2.00576,40.09652201659222,Beat,-0.06463216162705121,0.5970365937451515
GOOGL,2025-06-30,2.31,2.18615,5.665210529927042,Beat,0.06864374847618415,0.5951487119923674
GOOGL,2025-09-30,2.87,2.26199,26.879429175195302,Beat,0.06137221553905503,0.5957927031833193
GOOGL,2025-12-31,2.82,2.63521,7.012344367242081,Beat,0.11219783870400413,0.597931985697845
HD,2025-04-30,3.56,3.58912,-0.8113409415121203,Meet,0.0038283296393311073,0.3376906864712967
HD,2025-07-31,4.68,4.69448,-0.3084473679726128,Meet,0.13601465274989955,0.33405481811957505
HD,2025-10-31,3.74,3.83395,-2.450475358311923,Miss,-0.08668860569384018,0.3340829947765525
HD,2026-01-31,2.72,2.5232,7.799619530754601,Beat,-0.07627200619075258,0.32635216503481856
INTC,2025-12-31,0.15,0.08264,81.51016456921586,Beat,0.001538123489343013,0.3614889571449466
JNJ,2025-06-30,2.77,2.68396,3.205710964395897,Beat,0.08450189558306298,0.6787263614539022
JNJ,2025-09-30,2.8,2.75894,1.4882527347459487,Meet,0.010529419197237155,0.6956195557037469
JNJ,2025-12-31,2.46,2.46271,-0.11004137718204704,Meet,0.023798607927312032,0.6756228627259404
JNJ,2026-03-31,2.7,2.67727,0.848999167061975,Meet,-0.020436411007979105,0.6631202726290416
MA,2025-03-31,3.73,3.55917,4.7997145401877415,Beat,-0.03191347309387105,0.7671724137931034
MA,2025-06-30,4.15,4.02443,3.1201934186953344,Beat,0.12179310344827576,0.7722857494159596
MA,2025-09-30,4.38,4.31425,1.5240192385698448,Meet,0.05766629779909005,0.7799348988607301
MA,2025-12-31,4.76,4.24031,12.255943551296951,Beat,0.02371541501976293,0.7935498523733818
MCD,2025-03-31,2.67,2.67058,-0.02171812864622093,Meet,-0.06778334376956796,0.5602015113350126
MCD,2025-06-30,3.19,3.14621,1.3918333486957322,Meet,0.14911838790931986,0.578985824930586
MCD,2025-09-30,3.22,3.33195,-3.3598943561577985,Miss,0.034195528277071396,0.5799067401441289
MCD,2025-12-31,3.12,3.05223,2.2203438141948637,Beat,-0.009749894022891059,0.5750570776255708
META,2025-03-31,6.43,5.22294,23.1107383963821,Beat,-0.12547277048672112,0.8210521340454696
META,2025-06-30,7.14,5.90298,20.955856194667767,Beat,0.12293803469300935,0.821302298173247
META,2025-09-30,1.05,6.70696,-84.3446211100111,Miss,0.07841569155652839,0.820342687639046
META,2025-12-31,8.88,8.22253,7.995957448619828,Beat,0.16882635338199137,0.8179086036765565
MSFT,2025-03-31,3.46,3.22154,7.402049951265541,Beat,0.0062327665441177516,0.6871663859789342
MSFT,2025-06-30,3.65,3.37669,8.094021067968926,Beat,0.09098564210886884,0.6858492170432098
MSFT,2025-09-30,4.13,3.66355,12.732185994458927,Beat,0.016117005272039853,0.6904587179586213
MSFT,2025-12-31,4.14,3.91702,5.692592838433292,Beat,0.04634815186744423,0.6803612515841669
NFLX,2025-06-30,0.719,0.70326,2.238148053351531,Beat,0.05087499991700506,0.5193400839016222
NFLX,2025-09-30,0.587,0.69707,-15.790379732308091,Miss,0.038914571728593916,0.46445824598770474
NFLX,2025-12-31,0.56,0.55208,1.434574699318946,Meet,0.0469540039201386,0.45873787898225854
NFLX,2026-03-31,1.23,1.24746,-1.3996440767639868,Meet,0.016513063655227755,0.5193179750422804
NKE,2025-05-31,0.14,0.12337,13.479776282726775,Beat,-0.015263111189990242,0.4027214562494368
NKE,2025-08-31,0.49,0.2656,84.48795180722891,Beat,0.056141299450301885,0.42175767918088736
NKE,2025-11-30,0.53,0.37351,41.89713796150036,Beat,0.06032423208191129,0.4059708698800998
NKE,2026-02-28,0.35,0.28165,24.267708148411135,Beat,-0.09237949625814756,0.40163135029701214
NVDA,2025-04-30,0.81,0.74988,8.017282765242447,Beat,0.12028679667437903,0.6052380736235304
NVDA,2025-07-31,1.05,1.00867,4.097474892680469,Beat,0.06084608052289964,0.724236784117408
NVDA,2025-10-31,1.3,1.25647,3.4644679140767445,Beat,0.2195622874013221,0.7341157071185489
NVDA,2026-01-31,1.62,1.53812,5.32338179075756,Beat,0.1950847279233765,0.7499669734466511
PG,2025-06-30,1.48,1.42116,4.140279771454305,Beat,0.05628033980582514,0.49107185600076597
PG,2025-09-30,1.99,1.89677,4.915197941764153,Beat,0.07166451242280636,0.5136692575716966
PG,2025-12-31,1.88,1.85685,1.2467350620674802,Meet,-0.007951398195300663,0.5121577809798271
PG,2026-03-31,1.59,1.55547,2.2199078092152327,Beat,-0.04381304034582134,0.4950788792088533
PYPL,2025-03-31,1.33,1.16127,14.529782048963638,Beat,-0.06873057614152522,0.4769605955589783
PYPL,2025-06-30,1.4,1.29627,8.002190901586852,Beat,0.06379155435759198,0.4638030888030888
PYPL,2025-09-30,1.34,1.20568,11.140601154535199,Beat,0.015564671814671804,0.45990257811571816
PYPL,2025-12-31,1.23,1.2866,-4.399191667962069,Miss,0.030771058571937848,0.4649608114338405
QCOM,2025-03-31,2.85,2.81657,1.1869046393308198,Meet,-0.059131030936669826,0.5503233445669005
QCOM,2025-06-30,2.77,2.71433,2.050966536861771,Beat,-0.0559249476272885,0.5556198745779064
QCOM,2025-09-30,3.0,2.87578,4.31952374660093,Beat,0.0874095513748192,0.5533670481767368
QCOM,2025-12-31,3.5,3.40235,2.8700750951548133,Beat,0.08703752994410441,0.545543584720862
SBUX,2025-06-30,0.5,0.64511,-22.493838260141676,Miss,0.07925493060628197,0.22797165820642978
SBUX,2025-09-30,0.52,0.55621,-6.510131065604711,Miss,0.011950084602368793,0.22600062702476748
SBUX,2025-12-31,0.56,0.58692,-4.586655762284458,Miss,0.036168878670707505,0.21070891871993222
SBUX,2026-03-31,0.5,0.43998,13.641529160416388,Beat,0.036168878670707505,0.21070891871993222
SNAP,2025-03-31,-0.08,-0.13404,40.31632348552671,Beat,-0.12461832563509656,0.5308311149288778
SNAP,2025-06-30,-0.16,-0.15229,-5.062709304616189,Miss,-0.013414592100890799,0.5142252756649045
SNAP,2025-09-30,-0.06,-0.12142,50.58474715862297,Beat,0.12038470403664125,0.5525600279791006
SPOT,2025-03-31,1.07,2.32694,-54.01686334843184,Miss,-0.012258368694012312,0.3164677804295943
SPOT,2025-09-30,3.28,2.13499,53.630696162511285,Beat,0.018840925351776727,0.31624531835205993
SPOT,2025-12-31,4.43,2.84267,55.83940450351253,Beat,0.060627340823970144,0.33083204590598103
TSLA,2025-06-30,0.4,0.40391,-0.9680374340818423,Meet,0.16348590638738036,0.17238620199146515
TSLA,2025-09-30,0.5,0.55885,-10.530553815871874,Miss,0.2488886913229018,0.1798896600818651
TSLA,2025-12-31,0.5,0.45061,10.960697720867266,Beat,-0.11368570920092547,0.20115658005702583
TSLA,2026-03-31,0.41,0.34999,17.14620417726219,Beat,-0.10095980081121236,0.21083664626792334
UBER,2025-03-31,0.83,0.5029,65.04275203817855,Beat,-0.0356217075006271,0.39850862741697735
UBER,2025-06-30,0.63,0.62348,1.045743247578105,Meet,0.09693921789647097,0.3983874792506521
UBER,2025-12-31,0.14,0.775,-81.93548387096774,Miss,0.06675577337194616,0.39572601976889876
V,2025-03-31,2.76,2.67959,3.0008322168689854,Beat,0.008832807570977819,0.8039399624765479
V,2025-06-30,2.98,2.84683,4.677834644148045,Beat,0.060245987075255414,0.8060361777428234
V,2025-09-30,2.98,2.97176,0.2772767652838655,Meet,0.05426661423515533,0.8152741514360313
V,2025-12-31,3.17,3.14227,0.8824830456962652,Meet,0.016505035434539295,0.8168057976332447
WMT,2025-04-30,0.61,0.57746,5.6350223392096455,Beat,-0.08277302081371773,0.24941881177955305
WMT,2025-07-31,0.68,0.73887,-7.967572103347,Miss,0.0712098980127891,0.25158115466567454
WMT,2025-10-31,0.62,0.60128,3.11335816923895,Beat,0.011803700071025158,0.24953202299772698
WMT,2026-01-31,0.74,0.727,1.7881705639614873,Meet,0.06217408744484554,0.24673233467606578
XOM,2025-03-31,1.76,1.73988,1.156401590914311,Meet,0.0,0.22804658392755806
XOM,2025-06-30,1.64,1.56293,4.931122954962793,Beat,-0.01950455229588688,0.22581375743925916
XOM,2025-09-30,1.88,1.82466,3.0328937993927605,Beat,0.04849201655824964,0.22601432840119523
XOM,2025-12-31,1.71,1.69102,1.1223994985275159,Meet,-0.03950510614297198,0.19957770586838916
